房屋信息,房屋价格,房屋位置,房屋单价
祈福新村康怡居  | 2室2厅 | 66.6平米 | 北 | 其他 | 无电梯,205,祈福,单价30781元/平米
东发大厦  | 3室2厅 | 104.3平米 | 东北 | 其他,260,市桥,单价24929元/平米
紫荆花园  | 3室1厅 | 103.26平米 | 东 | 其他 | 有电梯,330,新市,单价31959元/平米
龙口小区  | 3室2厅 | 124.97平米 | 南 北 | 其他 | 有电梯,599,龙口西,单价47932元/平米
天誉华庭  | 2室2厅 | 75平米 | 东北 | 简装 | 有电梯,558,龙口西,单价74400元/平米
德祥路祥安大街  | 2室2厅 | 83.9平米 | 南 | 精装,168,市桥,单价20024元/平米
万科城市花园  | 3室2厅 | 113平米 | 东南 | 精装,452,区府,单价40000元/平米
昌岗中路  | 1室1厅 | 24.5平米 | 南 | 简装,85,昌岗,单价34694元/平米
美好居  | 3室2厅 | 110.42平米 | 东 | 简装 | 有电梯,490,车陂,单价44377元/平米
春晖苑  | 3室2厅 | 96平米 | 西 | 其他 | 无电梯,352,东莞庄,单价36667元/平米
华南理工大学宿舍紫荆苑  | 3室2厅 | 92.08平米 | 北 | 精装 | 无电梯,650,东莞庄,单价70591元/平米
下塘西路宝汉直街  | 2室1厅 | 67.53平米 | 北 | 其他 | 无电梯,255,麓景,单价37761元/平米
时尚明苑  | 3室2厅 | 143.77平米 | 南 | 简装,675,车陂,单价46950元/平米
时代玫瑰园  | 3室2厅 | 99.77平米 | 东 | 其他,410,白云大道北,单价41095元/平米
龙口东路  | 2室2厅 | 74.25平米 | 南 | 简装 | 无电梯,370,天河北,单价49832元/平米
银汇华庭银汇大厦  | 2室1厅 | 59平米 | 北 | 其他 | 有电梯,398,天润路,单价67458元/平米
慧仪楼  | 2室1厅 | 60.86平米 | 南 北 | 简装 | 无电梯,182.6,华景新城,单价30000元/平米
石岗路  | 2室1厅 | 40.89平米 | 东南 | 其他 | 无电梯,85,工业大道南,单价20788元/平米
时代玫瑰园  | 2室2厅 | 66.96平米 | 东北 | 简装 | 有电梯,260,白云大道北,单价38830元/平米
番禺海伦堡花样年华二期  | 3室2厅 | 55.06平米 | 北 | 精装,168,沙湾,单价30513元/平米
赤岗一街大院赤岗一街  | 2室2厅 | 69.5平米 | 北 | 精装 | 无电梯,220,赤岗,单价31655元/平米
易丰大厦  | 2室1厅 | 63.7平米 | 西南 | 精装 | 有电梯,333,天河公园,单价52277元/平米
赤岗一街大院赤岗一街  | 2室2厅 | 69.5平米 | 北 | 精装 | 无电梯,220,赤岗,单价31655元/平米
易丰大厦  | 2室1厅 | 63.7平米 | 西南 | 精装 | 有电梯,333,天河公园,单价52277元/平米
中海名都  | 2室1厅 | 85.71平米 | 北 | 其他,480,滨江中,单价56003元/平米
广花五路新市新街  | 3室1厅 | 94.24平米 | 北 | 简装 | 无电梯,180,新市,单价19101元/平米
保利百合花园馨园  | 3室2厅 | 92.22平米 | 西北 | 其他 | 有电梯,465,江燕路,单价50423元/平米
外语外贸学院  | 3室2厅 | 74平米 | 南 北 | 其他 | 无电梯,450,白云大道北,单价60811元/平米
天荣小区  | 3室1厅 | 103平米 | 东北 | 精装 | 有电梯,540,天河南,单价52428元/平米
华景新城芳满庭园  | 2室1厅 | 79平米 | 北 | 精装 | 有电梯,450,华景新城,单价56963元/平米
光大花园  | 3室2厅 | 120.56平米 | 西南 | 精装 | 有电梯,660,工业大道北,单价54745元/平米
骏景花园  | 3室2厅 | 92.84平米 | 南 | 简装 | 有电梯,545,棠下,单价58704元/平米
锦绣生态园倚翠苑  | 3室2厅 | 97.23平米 | 西北 | 其他 | 无电梯,243,钟村,单价24993元/平米
银丰花园银丰一街  | 3室2厅 | 126.11平米 | 东北 | 精装 | 无电梯,265,区府,单价21014元/平米
祈福新村倚云居  | 3室2厅 | 119平米 | 北 | 精装 | 有电梯,330,祈福,单价27732元/平米
金逸雅居  | 3室2厅 | 95.59平米 | 西北 | 其他,375,区府,单价39231元/平米
丽江花园左岸  | 2室2厅 | 107平米 | 西北 | 其他 | 有电梯,360,南浦,单价33645元/平米
愉景雅苑  | 3室2厅 | 105.17平米 | 东 | 其他,515,新港西,单价48969元/平米
珠岛花园  | 2室2厅 | 72平米 | 东 | 其他 | 无电梯,190,大坦沙,单价26389元/平米
晓港湾惠侨苑  | 3室2厅 | 104.55平米 | 东北 | 其他 | 有电梯,450,金碧,单价43042元/平米
石化生活区  | 2室1厅 | 72.45平米 | 南 北 | 其他 | 无电梯,160,区府,单价22085元/平米
华景新城翠安侬苑  | 4室2厅 | 133.46平米 | 北 | 其他 | 有电梯,780,华景新城,单价58445元/平米
江南西路紫金大街  | 2室1厅 | 66平米 | 东 | 其他 | 无电梯,240,江南西,单价36364元/平米
富力桃园  | 4室2厅 | 150平米 | 东南 | 简装 | 有电梯,555,罗冲围,单价37000元/平米
华颖花园  | 2室2厅 | 75.24平米 | 南 北 | 简装 | 无电梯,308,员村,单价40936元/平米
建基路  | 2室1厅 | 77平米 | 南 | 其他 | 无电梯,286,东晓路,单价37143元/平米
乐雅苑  | 2室1厅 | 67.91平米 | 东南 | 简装 | 无电梯,315,员村,单价46385元/平米
富力桃园  | 2室1厅 | 73平米 | 西 | 精装,260,罗冲围,单价35617元/平米
洞企石路  | 2室1厅 | 55平米 | 东南 | 简装 | 无电梯,130,芳村大道,单价23637元/平米
晓南花园晓南二街  | 2室1厅 | 64.87平米 | 西南 | 其他 | 无电梯,169,新港西,单价26053元/平米
新康花园康雅苑  | 5室2厅 | 176.04平米 | 南 北 | 精装 | 无电梯,260,新塘,单价14770元/平米
六运小区  | 3室2厅 | 85平米 | 东南 | 其他 | 无电梯,500,天河南,单价58824元/平米
荔京阁  | 3室2厅 | 110.35平米 | 西南 | 精装 | 有电梯,530,荔湾路,单价48029元/平米
城市假日园  | 3室2厅 | 97平米 | 北 | 精装 | 有电梯,450,东圃,单价46392元/平米
富力半岛花园  | 3室2厅 | 89.56平米 | 西北 | 其他 | 有电梯,320,罗冲围,单价35731元/平米
朗晴居二期  | 5室2厅 | 176.63平米 | 东北 | 精装 | 有电梯,880,滨江中,单价49822元/平米
嘉骏苑  | 5室2厅 | 206平米 | 西南 | 精装 | 有电梯,1300,东川路,单价63107元/平米
保利林语山庄6区  | 3室2厅 | 109.83平米 | 西北 | 精装 | 无电梯,365,科学城,单价33234元/平米
广钢鹤平小区  | 1室1厅 | 44平米 | 南 北 | 简装 | 无电梯,80,鹤洞,单价18182元/平米
白云高尔夫花园西区  | 2室1厅 | 60.78平米 | 南 | 简装 | 无电梯,198,黄石路,单价32577元/平米
名汇商业大厦  | 3室2厅 | 103平米 | 南 北 | 简装 | 有电梯,410,西关,单价39806元/平米
淘金北路  | 2室1厅 | 65平米 | 南 北 | 其他 | 无电梯,338,淘金,单价52000元/平米
兴禺大厦  | 2室2厅 | 82.43平米 | 北 | 简装 | 有电梯,248,粤垦,单价30087元/平米
华南碧桂园翡翠苑  | 5室2厅 | 155平米 | 西 | 精装 | 无电梯,538,华南,单价34710元/平米
佳大银湾  | 2室2厅 | 83平米 | 南 | 简装,500,东晓路,单价60241元/平米
荔港南湾  | 2室2厅 | 77.43平米 | 东北 | 精装 | 有电梯,336,南岸路,单价43395元/平米
东山雅筑  | 4室2厅 | 149.64平米 | 东 西 | 精装 | 有电梯,1200,东风东,单价80193元/平米
鸿翔大厦  | 3室2厅 | 122平米 | 西南 | 简装 | 有电梯,690,天河北,单价56558元/平米
华南碧桂园漾翠苑  | 2室2厅 | 80平米 | 西南 | 精装 | 无电梯,238,华南,单价29750元/平米
骏景花园  | 4室2厅 | 104.25平米 | 北 | 简装,550,棠下,单价52758元/平米
丽江花园丽茵楼  | 2室2厅 | 88平米 | 东北 | 其他 | 无电梯,215,南浦,单价24432元/平米
嘉仕花园  | 3室2厅 | 107平米 | 西北 | 简装 | 有电梯,535,滨江东,单价50000元/平米
尚东尚筑  | 3室2厅 | 86.27平米 | 南 | 精装 | 有电梯,285,市桥,单价33036元/平米
金海花园  | 3室2厅 | 77平米 | 南 | 简装,600,龙口西,单价77923元/平米
荔港南湾  | 6室3厅 | 288.72平米 | 北 | 其他 | 有电梯,980,南岸路,单价33943元/平米
荔湾路小梅大街  | 2室1厅 | 58.4平米 | 东 | 其他 | 无电梯,220,陈家祠,单价37672元/平米
碧桂园凤凰城凤馨苑  | 3室2厅 | 98平米 | 南 | 简装,230,新塘,单价23470元/平米
富力天朗明居S区  | 2室2厅 | 66平米 | 北 | 简装 | 有电梯,320,棠下,单价48485元/平米
华南碧桂园翠云山   | 独栋别墅 | 5室2厅 | 253平米 | 南 | 精装 | 无电梯,880,华南,单价34783元/平米
骏鸿花园  | 4室2厅 | 129.58平米 | 北 | 简装 | 无电梯,360,区府,单价27783元/平米
广州雅居乐花园雅逸庭  | 4室2厅 | 155.2平米 | 东南 | 其他 | 有电梯,560,华南,单价36083元/平米
东方都会广场  | 4室1厅 | 54.34平米 | 南 | 精装 | 有电梯,480,天河公园,单价88333元/平米
汇峰苑  | 3室2厅 | 136平米 | 北 | 简装 | 有电梯,1300,珠江新城中,单价95589元/平米
春晖闲庭  | 3室2厅 | 106平米 | 东北 | 其他 | 有电梯,318,南湖,单价30000元/平米
愉景雅苑  | 4室1厅 | 106.49平米 | 西南 | 简装 | 有电梯,590,新港西,单价55405元/平米
中海璟晖华庭  | 3室2厅 | 118.28平米 | 北 | 精装 | 有电梯,1100,珠江新城中,单价93000元/平米
荟贤大厦  | 3室2厅 | 93.5平米 | 西南 | 简装,460,宝岗,单价49198元/平米
光大花园  | 3室2厅 | 121平米 | 东南 | 其他 | 有电梯,629,工业大道北,单价51984元/平米
金燕花园  | 3室2厅 | 103平米 | 东 | 其他 | 有电梯,420,粤垦,单价40777元/平米
新世界逸彩庭园朗逸庭  | 3室2厅 | 90.84平米 | 西北 | 其他 | 有电梯,400,滘口,单价44034元/平米
富力桃园  | 3室2厅 | 126平米 | 西南 | 其他 | 有电梯,428,罗冲围,单价33969元/平米
华景新城芳满庭园  | 4室2厅 | 124.53平米 | 南 | 简装 | 有电梯,760,华景新城,单价61030元/平米
富力银禧花园  | 4室2厅 | 148.01平米 | 南 | 精装,950,滨江东,单价64185元/平米
东湖映月  | 3室2厅 | 99.53平米 | 南 | 其他 | 有电梯,320,白云大道北,单价32152元/平米
富雅都市华庭  | 3室2厅 | 109平米 | 北 | 其他,212,新塘,单价19450元/平米
汇侨新城北区  | 2室1厅 | 70平米 | 北 | 其他,196,新市,单价28000元/平米
金碧花园第三金碧  | 2室2厅 | 77.93平米 | 北 | 其他 | 有电梯,352,金碧,单价45169元/平米
双子星城  | 3室2厅 | 61.27平米 | 北 | 其他 | 有电梯,265,新港西,单价43252元/平米
祥龙花园  | 3室2厅 | 125.7平米 | 南 | 简装 | 有电梯,590,天河北,单价46938元/平米
